"date","geography","geography code","Number of households: Number of households; measures: Value"
"2021","E00060693","E00060693",97
"2021","E00060695","E00060695",111
"2021","E00060833","E00060833",125
"2021","E00060835","E00060835",132
"2021","E00060842","E00060842",214
"2021","E00060846","E00060846",169
"2021","E00060847","E00060847",128
"2021","E00060834","E00060834",129
"2021","E00060836","E00060836",120
"2021","E00060837","E00060837",138
"2021","E00060838","E00060838",127
"2021","E00060839","E00060839",132
"2021","E00060883","E00060883",127
"2021","E00060885","E00060885",107
"2021","E00060886","E00060886",113
"2021","E00060887","E00060887",119
"2021","E00060888","E00060888",105
"2021","E00060880","E00060880",104
"2021","E00060889","E00060889",123
"2021","E00060890","E00060890",107
"2021","E00060893","E00060893",118
"2021","E00060895","E00060895",140
"2021","E00060881","E00060881",124
"2021","E00060882","E00060882",122
"2021","E00060891","E00060891",134
"2021","E00060894","E00060894",112
"2021","E00165819","E00165819",125
"2021","E00188196","E00188196",109
"2021","E00188286","E00188286",101
"2021","E00188316","E00188316",115
"2021","E00188194","E00188194",123
"2021","E00188200","E00188200",127
"2021","E00188240","E00188240",129
"2021","E00188275","E00188275",126
"2021","E00188277","E00188277",123
"2021","E00060841","E00060841",175
"2021","E00060843","E00060843",134
"2021","E00060844","E00060844",140
"2021","E00060845","E00060845",133
"2021","E00061021","E00061021",121
"2021","E00061034","E00061034",127
"2021","E00061035","E00061035",100
"2021","E00061036","E00061036",237
"2021","E00061037","E00061037",111
"2021","E00061039","E00061039",157
"2021","E00061022","E00061022",124
"2021","E00061024","E00061024",189
"2021","E00061025","E00061025",129
"2021","E00061028","E00061028",133
"2021","E00061038","E00061038",116
"2021","E00061023","E00061023",120
"2021","E00061026","E00061026",130
"2021","E00061027","E00061027",119
"2021","E00061029","E00061029",128
"2021","E00061030","E00061030",119
"2021","E00061031","E00061031",124
"2021","E00061032","E00061032",114
"2021","E00061033","E00061033",125
"2021","E00061445","E00061445",136
"2021","E00061447","E00061447",118
"2021","E00061458","E00061458",123
"2021","E00061459","E00061459",109
"2021","E00061460","E00061460",129
"2021","E00061040","E00061040",117
"2021","E00061041","E00061041",115
"2021","E00061042","E00061042",111
"2021","E00061055","E00061055",136
"2021","E00061062","E00061062",115
"2021","E00061239","E00061239",121
"2021","E00061242","E00061242",117
"2021","E00061243","E00061243",112
"2021","E00061244","E00061244",118
"2021","E00061245","E00061245",121
"2021","E00061247","E00061247",117
"2021","E00061233","E00061233",125
"2021","E00061234","E00061234",148
"2021","E00061235","E00061235",110
"2021","E00061236","E00061236",129
"2021","E00061246","E00061246",132
"2021","E00061232","E00061232",122
"2021","E00061237","E00061237",116
"2021","E00061238","E00061238",129
"2021","E00061240","E00061240",126
"2021","E00061241","E00061241",123
"2021","E00061043","E00061043",127
"2021","E00061044","E00061044",111
"2021","E00061047","E00061047",117
"2021","E00061054","E00061054",116
"2021","E00061063","E00061063",124
"2021","E00061045","E00061045",137
"2021","E00061046","E00061046",133
"2021","E00061048","E00061048",131
"2021","E00061050","E00061050",119
"2021","E00061064","E00061064",132
"2021","E00061049","E00061049",121
"2021","E00061057","E00061057",127
"2021","E00061059","E00061059",123
"2021","E00061061","E00061061",142
"2021","E00061052","E00061052",117
"2021","E00061053","E00061053",149
"2021","E00061056","E00061056",103
"2021","E00061058","E00061058",120
